Apr 07 13:43:07.435 acc-5g-t user.info |1:1689244480|FRM_FSM  |       |-|framework/fsm/library/fsm.cpp:175|State|0x2c32b70: Parent controllerTesterStateTop = 1 (0x2c32ba0,0x2c32b40)
Apr 07 13:43:07.435 acc-5g-t user.info |1:1689244480|FRM_FSM  |       |-|framework/fsm/library/fsm.cpp:175|State|0x2c32b40: Parent controllerTesterStateTestcase7 = 2 (0x2c32b70,(nil))
Apr 07 13:43:07.435 acc-5g-t user.info |1:1689244480|FRM_FSM  |       |-|framework/fsm/library/fsm.cpp:178|State|Child list controllerTesterStateTestcase7 - end
Apr 07 13:43:07.435 acc-5g-t user.debug|1:1689244480|FRM_FSM  |EXIT   |-|framework/fsm/library/fsm.cpp:180|State|void
Apr 07 13:43:07.435 acc-5g-t user.debug|1:1689244480|FRM_FSM  |ENTER  |-|framework/fsm/library/fsm.cpp:119|State|name = controllerTesterStateTestcase8, parentRef = controllerTesterStateTop
Apr 07 13:43:07.435 acc-5g-t user.debug|1:1689244480|FRM_MEM  |ENTER  |-|framework/system/memory/module/memory.cpp:109|poolAlloc|size = 32
Apr 07 13:43:07.435 acc-5g-t user.debug|1:1689244480|FRM_MEM  |EXIT   |-|framework/system/memory/module/memory.cpp:114|poolAlloc|mem = 0x2c32bd0
Apr 07 13:43:07.435 acc-5g-t user.debug|1:1689244480|FRM_MEM  |ENTER  |-|framework/system/memory/module/memory.cpp:109|poolAlloc|size = 32
Apr 07 13:43:07.435 acc-5g-t user.debug|1:1689244480|FRM_MEM  |EXIT   |-|framework/system/memory/module/memory.cpp:114|poolAlloc|mem = 0x2c32c00
Apr 07 13:43:07.435 acc-5g-t user.debug|1:1689244480|FRM_MEM  |ENTER  |-|framework/system/memory/module/memory.cpp:109|poolAlloc|size = 32
Apr 07 13:43:07.435 acc-5g-t user.debug|1:1689244480|FRM_MEM  |EXIT   |-|framework/system/memory/module/memory.cpp:114|poolAlloc|mem = 0x2c32c30
Apr 07 13:43:07.435 acc-5g-t user.info |1:1689244480|FRM_FSM  |       |-|framework/fsm/library/fsm.cpp:166|State|Child list controllerTesterStateTestcase8 - start
Apr 07 13:43:07.435 acc-5g-t user.info |1:1689244480|FRM_FSM  |       |-|framework/fsm/library/fsm.cpp:175|State|0x2c32c30: Parent (null) = 0 ((nil),0x2c32c00)
Apr 07 13:43:07.435 acc-5g-t user.info |1:1689244480|FRM_FSM  |       |-|framework/fsm/library/fsm.cpp:175|State|0x2c32c00: Parent controllerTesterStateTop = 1 (0x2c32c30,0x2c32bd0)
Apr 07 13:43:07.435 acc-5g-t user.info |1:1689244480|FRM_FSM  |       |-|framework/fsm/library/fsm.cpp:175|State|0x2c32bd0: Parent controllerTesterStateTestcase8 = 2 (0x2c32c00,(nil))
Apr 07 13:43:07.435 acc-5g-t user.info |1:1689244480|FRM_FSM  |       |-|framework/fsm/library/fsm.cpp:178|State|Child list controllerTesterStateTestcase8 - end
Apr 07 13:43:07.435 acc-5g-t user.debug|1:1689244480|FRM_FSM  |EXIT   |-|framework/fsm/library/fsm.cpp:180|State|void
Apr 07 13:43:07.435 acc-5g-t user.debug|1:1689244480|FRM_FSM  |ENTER  |-|framework/fsm/library/fsm.cpp:119|State|name = sctpTesterStateTop, parentRef = (null)
